SEMANA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
02 a 08 MAR 2020,0-9,0.0,0.0
02 a 08 MAR 2020,10-19,0.0,0.0
02 a 08 MAR 2020,20-29,0.0,0.0
02 a 08 MAR 2020,30-39,0.0,0.0
02 a 08 MAR 2020,40-49,0.0,0.0
02 a 08 MAR 2020,50-59,0.0,0.0
02 a 08 MAR 2020,60-69,0.0,0.0
02 a 08 MAR 2020,70-79,0.0,0.0
02 a 08 MAR 2020,80+,0.0,0.0
09 a 15 MAR 2020,0-9,0.0,0.0
09 a 15 MAR 2020,10-19,6.0,0.0
09 a 15 MAR 2020,20-29,2.0,0.0
09 a 15 MAR 2020,30-39,4.0,0.0
09 a 15 MAR 2020,40-49,13.0,0.0
09 a 15 MAR 2020,50-59,4.0,0.0
09 a 15 MAR 2020,60-69,3.0,0.0
09 a 15 MAR 2020,70-79,3.0,0.0
09 a 15 MAR 2020,80+,0.0,0.0
16 a 22 MAR 2020,0-9,3.0,0.0
16 a 22 MAR 2020,10-19,21.0,0.0
16 a 22 MAR 2020,20-29,36.0,0.0
16 a 22 MAR 2020,30-39,59.0,0.0
16 a 22 MAR 2020,40-49,54.0,0.0
16 a 22 MAR 2020,50-59,48.0,0.0
16 a 22 MAR 2020,60-69,33.0,0.0
16 a 22 MAR 2020,70-79,25.0,0.0
16 a 22 MAR 2020,80+,12.0,0.0
23 a 29 MAR 2020,0-9,22.0,0.0
23 a 29 MAR 2020,10-19,39.0,0.0
23 a 29 MAR 2020,20-29,202.0,0.0
23 a 29 MAR 2020,30-39,282.0,0.0
23 a 29 MAR 2020,40-49,336.0,0.0
23 a 29 MAR 2020,50-59,309.0,0.0
23 a 29 MAR 2020,60-69,257.0,0.0
23 a 29 MAR 2020,70-79,152.0,0.0
23 a 29 MAR 2020,80+,131.0,0.0
30 a 05 ABR 2020,0-9,46.0,0.0
30 a 05 ABR 2020,10-19,83.0,0.0
30 a 05 ABR 2020,20-29,397.0,0.0
30 a 05 ABR 2020,30-39,618.0,0.0
30 a 05 ABR 2020,40-49,806.0,2.0
30 a 05 ABR 2020,50-59,789.0,3.0
30 a 05 ABR 2020,60-69,607.0,12.0
30 a 05 ABR 2020,70-79,488.0,26.0
30 a 05 ABR 2020,80+,514.0,64.0
06 a 12 ABR 2020,0-9,103.0,0.0
06 a 12 ABR 2020,10-19,136.0,0.0
06 a 12 ABR 2020,20-29,578.0,0.0
06 a 12 ABR 2020,30-39,766.0,0.0
