DIA,GRUPO ETÁRIO,CASOS_CONFIRMADOS,OBITOS
26 FEV 2020,0-9,,
26 FEV 2020,10-19,,
26 FEV 2020,20-29,,
26 FEV 2020,30-39,,
26 FEV 2020,40-49,,
26 FEV 2020,50-59,,
26 FEV 2020,60-69,,
26 FEV 2020,70-79,,
26 FEV 2020,80+,,
27 FEV 2020,0-9,,
27 FEV 2020,10-19,,
27 FEV 2020,20-29,,
27 FEV 2020,30-39,,
27 FEV 2020,40-49,,
27 FEV 2020,50-59,,
27 FEV 2020,60-69,,
27 FEV 2020,70-79,,
27 FEV 2020,80+,,
28 FEV 2020,0-9,,
28 FEV 2020,10-19,,
28 FEV 2020,20-29,,
28 FEV 2020,30-39,,
28 FEV 2020,40-49,,
28 FEV 2020,50-59,,
28 FEV 2020,60-69,,
28 FEV 2020,70-79,,
28 FEV 2020,80+,,
29 FEV 2020,0-9,,
29 FEV 2020,10-19,,
29 FEV 2020,20-29,,
29 FEV 2020,30-39,,
29 FEV 2020,40-49,,
29 FEV 2020,50-59,,
29 FEV 2020,60-69,,
29 FEV 2020,70-79,,
29 FEV 2020,80+,,
01 MAR 2020,0-9,,
01 MAR 2020,10-19,,
01 MAR 2020,20-29,,
01 MAR 2020,30-39,,
01 MAR 2020,40-49,,
01 MAR 2020,50-59,,
01 MAR 2020,60-69,,
01 MAR 2020,70-79,,
01 MAR 2020,80+,,
02 MAR 2020,0-9,,
02 MAR 2020,10-19,,
02 MAR 2020,20-29,,
02 MAR 2020,30-39,,
02 MAR 2020,40-49,,
02 MAR 2020,50-59,,
02 MAR 2020,60-69,,
02 MAR 2020,70-79,,
02 MAR 2020,80+,,
03 MAR 2020,0-9,,
03 MAR 2020,10-19,,
03 MAR 2020,20-29,,
03 MAR 2020,30-39,,
03 MAR 2020,40-49,,
03 MAR 2020,50-59,,
03 MAR 2020,60-69,,
03 MAR 2020,70-79,,
03 MAR 2020,80+,,
04 MAR 2020,0-9,0.0,
04 MAR 2020,10-19,0.0,
04 MAR 2020,20-29,0.0,
04 MAR 2020,30-39,0.0,
04 MAR 2020,40-49,2.0,
04 MAR 2020,50-59,0.0,
04 MAR 2020,60-69,0.0,
04 MAR 2020,70-79,0.0,
04 MAR 2020,80+,0.0,
05 MAR 2020,0-9,0.0,
05 MAR 2020,10-19,0.0,
05 MAR 2020,20-29,0.0,
05 MAR 2020,30-39,0.0,
05 MAR 2020,40-49,1.0,
05 MAR 2020,50-59,1.0,
05 MAR 2020,60-69,1.0,
05 MAR 2020,70-79,0.0,
05 MAR 2020,80+,0.0,
06 MAR 2020,0-9,0.0,
06 MAR 2020,10-19,0.0,
06 MAR 2020,20-29,0.0,
06 MAR 2020,30-39,0.0,
06 MAR 2020,40-49,2.0,
06 MAR 2020,50-59,1.0,
06 MAR 2020,60-69,0.0,
06 MAR 2020,70-79,1.0,
06 MAR 2020,80+,0.0,
07 MAR 2020,0-9,0.0,
07 MAR 2020,10-19,3.0,
07 MAR 2020,20-29,1.0,
